id,title,year,genre,technique,support,dimensions_h_w,location,url_imagine
152,Siegesallee mit siegessäule im herbst,1925,landscape,pastel,cardboard,35 x 49.81,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FEf14RaQxTs2TeNuNpzLHlw%2Flarger.jpg&width=400
153,Weg am Rheinufer,1924,landscape,oil,canvas,34.01 x 53.01,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FPL1AIyItrmIWIdbpkFGL-w%2Flarger.jpg&width=400
154,Segelregatta am Wannsee,1900,seascape,pastel,cardboard,35.31 x 50.01,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F0sshtlAMuCLj1UI10zH-dQ%2Flarger.jpg&width=400
155,Boulevard in Paris,1928,cityscape,oil,canvas,8.99 x 15.8,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2Fv4HJhfi9U8WiSIvvnUtlLQ%2Flarger.jpg&width=400
156,Berliner Strasse bei Nacht,1889,cityscape,oil,canvas,51 x 35.51,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FD7t59ecdIixrT0ZBzM2VjQ%2Flarger.jpg&width=400
157,Hochbahnhof Bülowstrasse bei Nacht,1922,cityscape,oil,canvas,70 x 100.51,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FKcjmRvCNT6eueKFHLjeTiw%2Flarger.jpg&width=400
158,"Victoria Embankment, London",1926,cityscape,pastel,board,35 x 50.01,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FuZYRKl9oAWdUXlvbPqGz9g%2Flarger.jpg&width=400
159,London im Nebel,1926,cityscape,oil,canvas,67.01 x 97,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2Fd2ZAX_NUMHx3ghpapIqLpQ%2Flarger.jpg&width=400
160,"Blick auf die Seine, Paris",1928,cityscape,charcoal,cardboard,33 x 48,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FtdVGzi3qIJvF8jqBNum0Nw%2Flarger.jpg&width=400
161,Am Kurfürstendamm,1910,cityscape,oil,canvas,101 x 70.5,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FKS7BzWp99axYB9wYKb5Kuw%2Flarger.jpg&width=400
